MC00001,Houston,PA,46.401677,-111.805918,1980-01-01,1980,Jan-80," 49,236.84 ",616,39,No,Yes,3.4,Happy Meal,No,Evening,1.11
MC00002,Houston,AZ,35.127624,-118.060556,1980-01-02,1980,Jan-80," 26,230.27 ",708,37,Yes,Yes,3.6,Desserts,No,Late Night,0.87
MC00003,Philadelphia,CA,44.547509,-76.217947,1980-01-04,1980,Jan-80," 39,772.61 ",68,34,Yes,No,2.9,Drinks,Yes,Late Night,1.12
MC00004,Phoenix,AZ,42.967266,-83.628128,1980-01-05,1980,Jan-80," 7,760.44 ",905,17,No,Yes,2.9,Happy Meal,No,Evening,1.49
MC00005,San Jose,CA,28.567704,-123.730731,1980-01-07,1980,Jan-80," 34,760.48 ",76,47,Yes,No,3.8,Drinks,Yes,Late Night,1.34
MC00006,Chicago,AZ,42.518296,-120.857721,1980-01-09,1980,Jan-80," 28,931.68 ",513,9,No,Yes,2.2,Happy Meal,Yes,Afternoon,1.39
MC00007,Lagos,TX,36.507499,-95.112584,1980-01-10,1980,Jan-80," 47,221.27 ",432,25,No,Yes,1.5,Desserts,Yes,Morning,1.3
MC00008,Philadelphia,AZ,35.438937,-69.113651,1980-01-12,1980,Jan-80," 26,715.44 ",882,20,No,No,3,Happy Meal,No,Afternoon,1.48
MC00009,San Jose,TX,40.046032,-122.017993,1980-01-13,1980,Jan-80," 36,913.97 ",897,37,No,No,2.8,Drinks,No,Afternoon,1.29
MC00010,Los Angeles,CA,25.482721,-120.116385,1980-01-15,1980,Jan-80," 20,645.56 ",979,14,No,Yes,3.5,Happy Meal,Yes,Morning,1.41
MC00011,Lagos,CA,37.840775,-121.864319,1980-01-17,1980,Jan-80," 21,639.31 ",570,12,No,No,4.4,Drinks,Yes,Morning,1.09
MC00012,San Jose,AZ,39.904578,-69.785003,1980-01-18,1980,Jan-80," 45,033.02 ",137,45,Yes,No,3.9,Happy Meal,Yes,Morning,0.8
MC00013,San Jose,CA,31.559756,-75.977506,1980-01-20,1980,Jan-80," 23,225.17 ",785,9,Yes,No,2.5,Fries,Yes,Evening,0.94
MC00014,San Jose,TX,30.473049,-109.990715,1980-01-21,1980,Jan-80," 12,259.10 ",435,47,Yes,No,4.8,Happy Meal,Yes,Evening,1.19
MC00015,Lagos,NY,27.518131,-114.93879,1980-01-23,1980,Jan-80," 17,146.79 ",789,5,Yes,Yes,4.6,Burgers,Yes,Morning,1.2
MC00016,San Diego,AZ,35.422205,-85.196511,1980-01-25,1980,Jan-80," 30,178.03 ",957,30,No,No,2.6,Happy Meal,No,Evening,1.12
MC00017,Dallas,NY,27.672583,-113.359364,1980-01-26,1980,Jan-80," 43,710.89 ",435,12,No,Yes,2.7,Fries,No,Late Night,1.17
MC00018,Lagos,CA,30.312739,-109.617174,1980-01-28,1980,Jan-80," 49,561.44 ",326,16,No,Yes,1.8,Burgers,Yes,Evening,1.2
MC00019,Phoenix,TX,34.274338,-100.460473,1980-01-29,1980,Jan-80," 42,529.91 ",688,39,Yes,Yes,1.7,Fries,Yes,Afternoon,0.88
MC00020,Phoenix,IL,45.349151,-96.061514,1980-01-31,1980,Jan-80," 5,012.04 ",691,6,No,Yes,3.3,Burgers,No,Evening,1.14
MC00021,Chicago,TX,28.041502,-85.46946,1980-02-02,1980,Feb-80," 19,002.66 ",678,10,Yes,No,2,Burgers,Yes,Afternoon,0.97
MC00022,Los Angeles,CA,26.468667,-106.10148,1980-02-03,1980,Feb-80," 45,430.02 ",164,47,No,Yes,2.7,Burgers,Yes,Morning,0.98
MC00023,Philadelphia,CA,43.823535,-110.237919,1980-02-05,1980,Feb-80," 23,640.33 ",65,47,No,No,3.9,Desserts,Yes,Evening,1.3
MC00024,Philadelphia,CA,33.94459,-120.253654,1980-02-06,1980,Feb-80," 16,615.82 ",764,37,Yes,No,4.9,Desserts,Yes,Evening,0.9
MC00025,San Antonio,PA,47.345837,-84.414381,1980-02-08,1980,Feb-80," 46,766.58 ",607,48,No,No,3,Happy Meal,No,Morning,1.13
MC00026,San Diego,CA,27.901667,-112.268096,1980-02-10,1980,Feb-80," 35,358.28 ",761,40,Yes,No,2.9,Burgers,Yes,Morning,1.33
MC00027,Lagos,IL,49.841977,-106.024962,1980-02-11,1980,Feb-80," 11,221.12 ",947,48,Yes,No,3.6,Burgers,Yes,Morning,0.87
MC00028,Lagos,TX,48.452197,-124.834546,1980-02-13,1980,Feb-80," 27,435.44 ",206,38,Yes,Yes,3.3,Happy Meal,No,Late Night,1.19
MC00029,Chicago,TX,43.00617,-74.717202,1980-02-15,1980,Feb-80," 28,843.20 ",229,9,Yes,No,2.5,Happy Meal,Yes,Morning,1.08
MC00030,San Jose,AZ,29.239509,-107.303786,1980-02-16,1980,Feb-80," 31,585.27 ",880,17,No,Yes,1.1,Desserts,Yes,Morning,1.07
MC00031,Lagos,TX,48.318478,-119.324563,1980-02-18,1980,Feb-80," 46,472.72 ",793,8,No,No,4.3,Fries,Yes,Afternoon,1
MC00032,Phoenix,PA,42.486918,-110.281141,1980-02-19,1980,Feb-80," 24,898.36 ",627,18,Yes,Yes,2.8,Happy Meal,Yes,Evening,0.99
MC00033,Lagos,AZ,30.388362,-114.145683,1980-02-21,1980,Feb-80," 15,750.11 ",599,15,No,Yes,4.3,Drinks,No,Afternoon,1.27
MC00034,San Antonio,CA,43.354121,-112.633607,1980-02-23,1980,Feb-80," 25,550.81 ",453,21,No,Yes,3.6,Fries,No,Afternoon,1.15
